name,category,website
Lemon,Wallets / Exchanges - Centralized,https://lemon.me/en/
Ripio,Wallets / Exchanges - Centralized,https://ripio.com/ar/
Belo,Wallets / Exchanges - Centralized,https://belo.app/
Let's Bit,Wallets / Exchanges - Centralized,https://letsbit.io/
Satoshi Tango,Wallets / Exchanges - Centralized,https://satoshitango.com/global
Wapupay,Wallets / Exchanges - Centralized,https://wapupay.com/
Tienda Crypto,Wallets / Exchanges - Centralized,https://tiendacrypto.com/
Fiwind,Wallets / Exchanges - Centralized,https://fiwind.io/
El Dorado,Wallets / Exchanges - Centralized,https://eldorado.io/en/
Eluter,Wallets / Exchanges - Centralized,https://eluter.com/
Takenos,Wallets / Exchanges - Centralized,https://takenos.com/ar
Buenbit,Wallets / Exchanges - Centralized,https://buenbit.com/
Decrypto,Wallets / Exchanges - Centralized,https://decrypto.la/
ArgenBTC,Wallets / Exchanges - Centralized,https://argenbtc.com/
Muun,Wallets / Exchanges - Decentralized,https://muun.com/
Defiant,Wallets / Exchanges - Decentralized,https://defiantapp.tech/en
Paydece,Wallets / Exchanges - Decentralized,https://paydece.io/
Grateful,Payments,https://imgrateful.io/
Menta Tech,Payments,https://mentatech.io/
Talopay,Payments,https://talo.com.ar/
SimpleFi,Payments,https://simplefi.tech/#hero
Amplify,Payments,https://getamplify.app/
Karpatkey,DeFi,https://karpatkey.com/
Ducata,DeFi,https://ducata.com/
Damm,DeFi,https://dammcap.finance/
Contango,DeFi,https://contango.xyz/
Exactly,DeFi,https://exact.ly/
Ensuro,DeFi,https://ensuro.co/
Debita,DeFi,https://debita.org/
Mimic,DeFi,https://mimic.fi/
Auto Kujira,DeFi,https://autokujira.app/market
Kleros,DeFi,https://kleros.io/
Balmy,DeFi,https://balmy.xyz/
Rootsock,DeFi,https://rootstock.io/
Mountain Protocol,Real World Assets,https://mountainprotocol.com/
Berry,Real World Assets,https://berryinvesting.com/
Unized,Real World Assets,https://unized.co/
Agrotoken,Real World Assets,https://agrotoken.com/en/home
TravelX,Real World Assets,https://travelx.io/
Num Finance,Real World Assets,https://num.finance/
Slice Token,Real World Assets,https://slicetoken.io/
Boulder Tech,Real World Assets,https://bouldertech.fi/
Win Investments,Real World Assets,https://win.investments/
LatamXO,Dev shop,https://latamxo.com/
WakeUp Labs,Dev shop,https://wakeuplabs.io/
Siblings Software,Dev shop,https://siblingssoftware.com.ar/
Infuy,Dev shop,https://infuy.com/
LambdaClass,Dev shop,https://lambdaclass.com/#
Xcapit,Dev shop,https://xcapit.com/
Think & Dev,Dev shop,https://thinkanddev.com/
Wonderland,Dev shop,https://defi.sucks/
Prutopia,Digital Identity,https://prutopia.io/en
Extrimian,Digital Identity,https://extrimian.io/
QuarkID,Digital Identity,https://quarkid.org/
Crypto Mate,Infrastructure,https://cryptomate.me/en
Aligned,Infrastructure,https://alignedlayer.com/
Sensei Node,Infrastructure,https://senseinode.com/
Cedalio,Infrastructure,https://cedalio.com/es/
Koibanx,Infrastructure,https://koibanx.com/about
Fanstastic,NFTs / Social,https://fanstastic.app/
Enigma,NFTs / Social,https://enigma.art/en
Poap,NFTs / Social,https://poap.xyz/
Continent,NFTs / Social,https://continent.io/
Welook,NFTs / Social,https://welook.io/app
Soundrop,NFTs / Social,https://soundrop.com/
Wooy,NFTs / Social,https://wooy.co/
Nata Social,NFTs / Social,https://nata.social/
Artbag,NFTs / Social,https://artbag.io/en
Decentraland,NFTs / Social,https://decentraland.org/
The Hub Trader,Education,https://thehubtrader.com/
Solow,Education,https://solow.io/
Speezard,Education,https://speezard.io/
Defy,Education,https://defyeducation.com/
Clorofila,Education,https://colectivoclorofila.com/
Newtro,Education,https://newtro.xyz/
