Educación,¿Cuándo comenzó tu proyecto?,¿Por qué decidiste emprender?,¿Qué desafíos tuviste a la hora de empezar/decidir a emprender?,"¿Accediste a financiamiento? famila, amigos, angel investors, venture capital...",¿Cuál fue la fuente de ese financiamiento?,Etapa del proyecto,¿Con cuantos potenciales inversores contactaste? ,Si participaste de una incubadora/aceleradora. ¿Cómo impactó ese proceso en tu negocio?,¿Por qué no accediste a fondos?,¿Qué desafíos tenés cómo founder hoy en día?,¿Algún desafío único para crear productos para el mercado Argentino?,¿Dónde necesitas más apoyo?,¿Qué políticas o regulaciones te perjudican?,¿Qué políticas o regulaciones te benefician?,Tipo de empresa,Cantidad de gente en el equipo,¿Qué porcentaje de ese equipo está en Argentina?,Burn-rate mensual de tu empresa (opcional),Revenue mensual de tu empresa (opcional),Lugar trabajo,Estructura legal,@,Repetido,Not crypto,included in Landscape,Industria/vertical,Edad,Lugar de nacimiento - Provincia,Lugar de nacimiento - Pais,Lugar de residencia - Provincia,Lugar de residencia - Pais
Universitario completo (Institución privada),8/20/2021,"Idea, queres mejorar procesos y eficiencia de las transferencias internacionales",Falta de clientes,Si,"Fondos propios, Friends & Family",Series A,1 -10,No me ayudó,,Velocidad de ejecución,Todo es desafío y oportunidad a la vez,Velocidad de ejecución,"Me encantan, incentiva la innovación y adopción ",PSAV y todo el sistema bancario en general (por separado me refiero),Servicio,13,Entre el 76% y el 99%,,,Híbrido,"Argentina, Delaware (LLC or C-Corp), Estonia ",,,,,CeFi,25,,Argentina,,Argentina
Universitario completo (Institución pública),1/1/2023,Quería cambiar el mundo,"Falta de socios, Falta de financiamiento",No,,,,,"Empecé a hablar con algunos VCs e inversores ángeles. Algunos interesados, pero buscando más tracción. El ""hablemos más adelante"". Empecé a buscar la forma de hacerlo por mi mismo, conseguir fondos en paralelo y bootstrappear","Financiamiento (deuda, working capital), Conexiones, Velocidad de ejecución","Desafío y oportunidad al mismo tiempo: Argentina tiene un problema macro nuevo todos los días. Te enseña de resiliencia y a no relajarte, bullish","Inversión (equity), Conexiones, Velocidad de ejecución","No hay regulaciones en particular que me perjudiquen (más allá de que abrir una sociedad legal en Argentina es una burocracia y un entendimiento eterno que requiere de expertos). Sería genial que todo sea más fáciil, un par de clicks y de entendimiento para cualquier founder, y no que necesitemos contratar abogados si o si para cada paso que damos en ese sentido","Regulación que no sólo es local, pero a nivel del derecho a la portabilidad de datos que tienen las personas",Producto,3,100% en Argentina,,,Remoto,No hay,,,,,Identity,24,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),10/1/2023,Desafio,"Impacto emocional, Falta de clientes, Falta de socios, Falta de financiamiento",No,,,,,No encontré interesados en el proyecto,"Inversión (equity), Go to market, Conexiones",.,Conexiones,.,.,Producto,4,Menos del 25%,,,Remoto,No hay,,,,,Advertising,27,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),4/1/2022,Desafio,"Falta de conocimiento/skills, Impacto emocional",Si,"Inversión Ángel, Fondos de Venture Capital",Seed,+ 100,No participé,,Velocidad de ejecución,Fraude,Velocidad de ejecución,"Reventa de entradas, planos de pago elevados (bcra)",Apertura de cuenta a mayores de 13,Producto,15,100% en Argentina,,,Híbrido,"Argentina, Delaware (LLC or C-Corp)",,,,,Payments,28,Buenos Aires,Argentina,Buenos Aires,Argentina
Secundario incompleto,4/21/2024,Desafio,"Falta de socios, Falta de financiamiento",No,,,,,"No sabía cómo hacerlo, No tenía los contactos para hacerlo","Infraestructura corporativa, Equipo, Desarrollo de producto, Go to market, Velocidad de ejecución",Musica en streaming digital con blockchain,"Inversión (equity), Financiamiento (deuda, working capital), Equipo, Conexiones, Sistema regulatorio",No se,No se,Producto,2,100% en Argentina,,,Remoto,Todavia no hay,,,,,?,29,,Argentina,Corrientes,Argentina
Estudios de especialización,4/23/2023,Quería cambiar el mundo,"Falta de conocimiento/skills, Falta de clientes, Falta de socios, Falta de financiamiento",Si,"Fondos propios, Friends & Family",Seed,1 -10,No participé,,"Inversión (equity), Equipo, Desarrollo de producto, Go to market, Conexiones",No comprendo la consulta.,"Inversión (equity), Equipo, Desarrollo de producto, Go to market","Ninguna. El producto tiene base cripto, pero no está afectado por regulaciones.","Ninguna. El producto tiene base cripto, pero no está beneficiado por regulaciones.",Ambas,2,100% en Argentina,,,Remoto,Argentina,,,,,?,46,Formosa,Argentina, Santa Fe,Argentina
Universitario completo (Institución pública),4/1/2023,aprendizaje,"Falta de conocimiento/skills, Falta de clientes",No,,,,,No los necesitaba,"Inversión (equity), Financiamiento (deuda, working capital), Equipo, Go to market, Conexiones",mercado pequeño,"Go to market, Conexiones",en la app que estamos haciendo ninguna x ahora,ninguna x ahora ,Servicio,4,100% en Argentina,,,Remoto,No hay,,,,,Security,41,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario incompleto (Institución privada),9/1/2023,Desafio,"Falta de conocimiento/skills, Falta de clientes, Falta de socios, Falta de financiamiento",Si,"Fondos propios, Friends & Family",Pre-seed,1 -10,No participé,,"Inversión (equity), Desarrollo de producto, Conexiones",Atraer gente de web2,"Inversión (equity), Sistema regulatorio",Regulacciones financieras,ninguna,Servicio,2,100% en Argentina,,,Híbrido,No hay,,repetido,,,,25,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución pública),2/8/2024,Oportunidad,tuve ciertos desafíos tecnológicos ya que hay cosas propias de Kujira que conocen solo los founders. Lo bueno es que le dan bastante bola a los proyectos nuevos.,No,,,,,Mi intención siempre es construir algo que aporta valor y luego buscar $,Sistema regulatorio,No,Sistema regulatorio,"Sinceramente no lo se, no le dediqué tiempo a eso aún.","Sinceramente no lo se, no le dediqué tiempo a eso aún.",Producto,3,100% en Argentina,,,Remoto,No hay,,,,,DeFi,47,Buenos Aires,Argentina,Buenos Aires,Argentina
Estudios de especialización,7/24/2021,Quería cambiar el mundo,Falta de financiamiento,Si,"Fondos propios, Friends & Family, Inversión Ángel",Series A,1 -10,Validé la idea,,"Inversión (equity), Infraestructura corporativa, Go to market",Alianzas con empresas de envios,"Inversión (equity), Infraestructura corporativa, Go to market",Todo tiene solución.,"Nos vemos en la internet, podemos ir hacia todo el mundo sin limites.","Servicio, Producto, Ambas",20...,Entre el 51% y 75%,4500 usd,12000,Híbrido,"Argentina, Delaware (LLC or C-Corp)",,,,,Marketplace,32,Santiago del Estero,Argentina,Cordoba,Argentina
