date,protocol,tvl
2021-05-26,beefy,544456023.81
2021-05-27,beefy,562011468.79
2021-05-28,beefy,509569090.09
2021-05-29,beefy,448523402.71
2021-05-30,beefy,471548575.96
2021-05-31,beefy,503244570.8
2021-06-01,beefy,512102364.68
2021-06-02,beefy,550737288.88
2021-06-03,beefy,589656518.97
2021-06-04,beefy,580726554.57
2021-06-05,beefy,562655779.03
2021-06-06,beefy,588294676.03
2021-06-07,beefy,595489367.21
2021-06-08,beefy,590132014.7
2021-06-09,beefy,619902935.05
2021-06-10,beefy,614743033.26
2021-06-11,beefy,630331343.17
2021-06-12,beefy,654365995.26
2021-06-13,beefy,716262334.26
2021-06-14,beefy,769512675.05
2021-06-15,beefy,791794127.84
2021-06-16,beefy,579537424.6
2021-06-17,beefy,547836001.8
2021-06-18,beefy,526076936.13
2021-06-19,beefy,540570942.98
2021-06-20,beefy,535366162.6
2021-06-21,beefy,458603702.42
2021-06-22,beefy,440249076.14
2021-06-23,beefy,463671420.46
2021-06-24,beefy,451325394.47
2021-06-25,beefy,412359913.45
2021-06-26,beefy,404159255.47
2021-06-27,beefy,415611814.17
2021-06-28,beefy,427936322.62
2021-06-29,beefy,430856138.02
2021-06-30,beefy,424866265.25
2021-07-01,beefy,425149228.29
2021-07-02,beefy,427910207.73
2021-07-03,beefy,440037004.01
2021-07-04,beefy,460113181.28
2021-07-05,beefy,448949001.05
2021-07-06,beefy,470253743.0
2021-07-07,beefy,478716176.36
2021-07-08,beefy,450174645.06
2021-07-09,beefy,455672500.99
2021-07-10,beefy,458218507.97
2021-07-11,beefy,467170911.63
2021-07-12,beefy,465099489.59
2021-07-13,beefy,464294991.83
2021-07-14,beefy,459878237.05
2021-07-15,beefy,451026090.98
2021-07-16,beefy,439363503.0
2021-07-17,beefy,439753313.27
2021-07-18,beefy,443657798.39
2021-07-19,beefy,420590170.78
2021-07-20,beefy,393195995.46
2021-07-21,beefy,424391339.15
2021-07-22,beefy,435380245.56
2021-07-23,beefy,460686641.92
2021-07-24,beefy,466965834.38
2021-07-25,beefy,476865067.76
2021-07-26,beefy,487133442.39
2021-07-27,beefy,500982622.28
2021-07-28,beefy,509862710.35
2021-07-29,beefy,508733667.26
2021-07-30,beefy,525002435.54
2021-07-31,beefy,539977237.83
2021-08-01,beefy,529438799.84
2021-08-02,beefy,535287187.97
2021-08-03,beefy,527955681.34
2021-08-04,beefy,527955681.34
2021-08-04,balmy,351.66643
2021-08-05,beefy,558007140.61
2021-08-05,balmy,1599.80735
2021-08-06,beefy,562241391.61
2021-08-06,balmy,3320.65524
2021-08-07,beefy,580590112.3
2021-08-07,balmy,3235.87954
2021-08-08,beefy,563787909.37
2021-08-08,balmy,5540.91756
2021-08-09,beefy,584759520.42
2021-08-09,balmy,5798.8292
2021-08-10,beefy,599885589.04
2021-08-10,balmy,5931.36266
2021-08-11,beefy,620184229.0
2021-08-11,balmy,30335.51554
2021-08-12,beefy,612042018.76
2021-08-12,balmy,30459.97807
2021-08-13,beefy,658276974.54
2021-08-13,balmy,33068.33817
2021-08-14,beefy,654635321.59
2021-08-14,balmy,34225.15281
2021-08-15,beefy,655627985.71
2021-08-15,balmy,61964.49493
2021-08-16,beefy,660257926.58
2021-08-16,balmy,63045.55181
2021-08-17,beefy,652315125.6
2021-08-17,balmy,14584.8312
2021-08-18,beefy,652103530.67
2021-08-18,balmy,14539.51596
2021-08-19,beefy,688917216.67
2021-08-19,balmy,13497.56199
2021-08-20,beefy,728401382.96
2021-08-20,balmy,22657.73412
2021-08-21,beefy,743594846.72
2021-08-21,balmy,24382.6195
2021-08-22,beefy,749347888.97
2021-08-22,balmy,25812.9409
2021-08-23,beefy,791591895.3
2021-08-23,balmy,26320.07871
2021-08-24,beefy,786114241.87
2021-08-24,balmy,24736.11188
2021-08-25,beefy,825959411.68
2021-08-25,balmy,24151.92299
2021-08-26,beefy,803281689.02
2021-08-26,balmy,24273.57561
2021-08-27,beefy,803281689.02
2021-08-27,balmy,60869.8995
2021-08-28,beefy,792961391.51
2021-08-28,balmy,63701.1134
2021-08-29,beefy,792401959.67
2021-08-29,balmy,63206.95946
2021-08-30,beefy,792694639.36
2021-08-30,balmy,63037.70086
2021-08-31,beefy,812084385.82
2021-08-31,balmy,63808.33521
2021-09-01,beefy,854585981.18
2021-09-01,balmy,66569.58045
2021-09-02,beefy,853910050.23
2021-09-02,balmy,71161.48868
2021-09-03,beefy,853488076.96
2021-09-03,balmy,70490.46502
2021-09-04,beefy,877633938.65
2021-09-04,balmy,72811.8614
2021-09-05,beefy,902257656.79
2021-09-05,balmy,270990.17479
2021-09-06,beefy,897906103.11
2021-09-06,balmy,275007.6738
2021-09-07,beefy,810210305.31
2021-09-07,balmy,273627.19715
2021-09-08,beefy,822404568.81
2021-09-08,balmy,252337.5146
2021-09-09,beefy,821518756.94
2021-09-09,balmy,253803.83217
2021-09-10,beefy,779530182.44
2021-09-10,balmy,252236.75554
2021-09-11,beefy,796525531.12
2021-09-11,balmy,247224.23665
2021-09-12,beefy,799162175.56
2021-09-12,balmy,248698.10656
2021-09-13,beefy,785462965.35
2021-09-13,balmy,249324.87147
2021-09-14,beefy,799162848.54
2021-09-14,balmy,245436.73919
2021-09-15,beefy,842498591.41
2021-09-15,balmy,282509.7729
2021-09-16,beefy,841414787.94
2021-09-16,balmy,285188.6228
2021-09-17,beefy,823016427.11
2021-09-17,balmy,283746.65589
2021-09-18,beefy,828688359.35
2021-09-18,balmy,280817.52366
2021-09-19,beefy,830083911.39
2021-09-19,balmy,281025.06314
2021-09-20,beefy,756516752.03
2021-09-20,balmy,278640.25163
2021-09-21,beefy,703208481.62
2021-09-21,balmy,268736.08102
2021-09-22,beefy,780915821.0
2021-09-22,balmy,260740.81441
2021-09-23,beefy,797299753.46
2021-09-23,balmy,265370.72818
2021-09-24,beefy,774657359.6
2021-09-24,balmy,268328.70615
2021-09-25,beefy,773260420.11
2021-09-25,balmy,263692.93149
2021-09-26,beefy,780373492.77
2021-09-26,balmy,262609.32673
2021-09-27,beefy,792073351.46
2021-09-27,balmy,434317.02288
2021-09-28,beefy,778635304.2
2021-09-28,balmy,424888.83057
2021-09-29,beefy,786072678.82
2021-09-29,balmy,419113.76764
2021-09-30,beefy,806918344.66
2021-09-30,balmy,422321.30646
2021-10-01,beefy,862877262.89
2021-10-01,balmy,432034.40396
